"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Coinflip","ControlCoinflip","CoinflipKnow","I2","Truetemp","ControlTruetemp","TruetempKnow","interviewtime","groupTime8122","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8125","I1Time","groupTime8123","CoinflipTime","ControlCoinflipTime","CoinflipKnowTime","groupTime8124","I2Time","groupTime8126","TruetempTime","ControlTruetempTime","TruetempKnowTime"
"16","2018-03-20 13:21:52","5","en","2018-03-20 13:20:37","2018-03-20 13:21:52","86.147.62.57","","Female","1974","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Agree","77.38","21.54","","","","","","","3.71","","27.44","","","","3.64","","21.05","","",""
"17","2018-03-20 13:24:30","5","en","2018-03-20 13:22:11","2018-03-20 13:24:30","209.58.133.167","","Male","1994","High School/GED","","No","","Yes","","","True","Strongly agree","","","False","Strongly agree","140.43","30.03","","","","","","","5.77","","60.18","","","","6.71","","37.74","","",""
"18","2018-03-20 13:23:57","5","en","2018-03-20 13:22:13","2018-03-20 13:23:57","94.2.241.94","","Male","1998","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","105.47","28.04","","","","","","","2.98","","36.46","","","","9.45","","28.54","","",""
"19","2018-03-20 13:24:01","5","en","2018-03-20 13:22:26","2018-03-20 13:24:01","86.177.208.138","","Female","1969","Advanced Graduate work or Doctoral degree","","No","","Yes","","","True","Neutral","","","True","Agree","94.77","15.99","","","","","","","3.6","","36.15","","","","2.89","","36.14","","",""
"20","2018-03-20 13:23:53","5","en","2018-03-20 13:22:33","2018-03-20 13:23:53","73.45.112.165","","Male","1989","Some College","","No","","Yes","","","True","Disagree","","","True","Agree","80.95","16.99","","","","","","","3.53","","27.22","","","","4.38","","28.83","","",""
"21","2018-03-20 13:27:41","5","en","2018-03-20 13:22:52","2018-03-20 13:27:41","81.152.14.219","","Male","1994","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Disagree","290.46","37.13","","","","","","","7.79","","66.8","","","","6.4","","172.34","","",""
"22","2018-03-20 13:25:21","5","en","2018-03-20 13:22:56","2018-03-20 13:25:21","198.91.10.186","","Male","1985","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Disagree","146.92","26.56","","","","","","","9.7","","44.5","","","","4.02","","62.14","","",""
"23","2018-03-20 13:46:29","5","en","2018-03-20 13:42:47","2018-03-20 13:46:29","50.25.18.225","","Female","1983","High School/GED","","No","","Yes","","","True","Neutral","","","True","Agree","223.96","17.47","","","","","","","6.64","","92.71","","","","5.97","","101.17","","",""
"24","2018-03-20 13:45:13","5","en","2018-03-20 13:43:03","2018-03-20 13:45:13","2.217.207.215","","Male","1973","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Agree","131.33","16.74","","","","","","","4.53","","54.02","","","","9.12","","46.92","","",""
"25","2018-03-20 13:54:17","5","en","2018-03-20 13:51:55","2018-03-20 13:54:17","172.17.114.14","","Female","1973","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Neutral","144","28.99","","","","","","","21.63","","49.56","","","","4.67","","39.15","","",""
"26","2018-03-20 13:53:42","5","en","2018-03-20 13:52:23","2018-03-20 13:53:42","66.64.66.225","","Female","1993","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Agree","80.65","18.3","","","","","","","3.88","","31.72","","","","5.15","","21.6","","",""
"27","2018-03-20 14:12:01","5","en","2018-03-20 13:52:27","2018-03-20 14:12:01","109.169.6.135","","Female","1994","Some College","","No","","Yes","","","True","Neutral","","","True","Agree","1175.44","18.88","","","","","","","991.17","","35.36","","","","5.37","","124.66","","",""
"28","2018-03-20 13:54:27","5","en","2018-03-20 13:52:33","2018-03-20 13:54:27","5.64.72.198","","Female","1958","Some College","","No","","Yes","","","True","Agree","","","True","Agree","114.87","22.46","","","","","","","7.42","","40.52","","","","4.16","","40.31","","",""
"29","2018-03-20 13:55:33","5","en","2018-03-20 13:53:01","2018-03-20 13:55:33","10.4.165.42","","Female","1996","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Strongly disagree","152.03","40.89","","","","","","","9.02","","56.22","","","","3.73","","42.17","","",""
"30","2018-03-20 13:54:30","5","en","2018-03-20 13:53:16","2018-03-20 13:54:30","86.138.60.135","","Male","1968","High School/GED","","No","","Yes","","","True","Strongly disagree","","","True","Strongly disagree","75.73","16.33","","","","","","","4.66","","26.43","","","","3.05","","25.26","","",""
"31","2018-03-20 13:55:54","5","en","2018-03-20 13:53:30","2018-03-20 13:55:54","5.69.119.185","","Female","1964","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Neutral","145.4","39.44","","","","","","","12.45","","48.97","","","","5.97","","38.57","","",""
"32","2018-03-20 13:55:55","5","en","2018-03-20 13:53:44","2018-03-20 13:55:55","24.192.118.82","","Male","1975","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","132.36","25.36","","","","","","","7.6","","34.45","","","","5.49","","59.46","","",""
"33","2018-03-20 13:55:48","5","en","2018-03-20 13:54:09","2018-03-20 13:55:48","95.150.238.220","","Female","1994","Bachelor's degree","","No","","Yes","","","True","Neutral","","","True","Agree","100.13","20.94","","","","","","","4.6","","28.32","","","","2.78","","43.49","","",""
"34","2018-03-20 13:55:52","5","en","2018-03-20 13:54:35","2018-03-20 13:55:52","107.10.19.173","","Female","1977","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","78.43","15.18","","","","","","","3.53","","28.5","","","","3.59","","27.63","","",""
"35","2018-03-20 13:57:06","5","en","2018-03-20 13:54:50","2018-03-20 13:57:06","92.2.252.155","","Female","1982","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","138.3","27.76","","","","","","","7.38","","58.34","","","","10.11","","34.71","","",""
"36","2018-03-20 14:25:08","5","en","2018-03-20 14:23:23","2018-03-20 14:25:08","95.144.76.47","","Female","1979","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Neutral","106.76","25.44","","","","","","","4.94","","27.14","","","","4.48","","44.76","","",""
"37","2018-03-20 14:26:26","5","en","2018-03-20 14:23:27","2018-03-20 14:26:26","90.152.62.46","","Female","1971","Some College","","No","","Yes","","","True","Agree","","","True","Strongly disagree","180.22","22.25","","","","","","","10.74","","66.33","","","","10.53","","70.37","","",""
"38","2018-03-20 14:26:36","5","en","2018-03-20 14:23:32","2018-03-20 14:26:36","50.84.79.194","","Female","1988","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Strongly disagree","186.9","22.44","","","","","","","4.55","","72.05","","","","5.88","","81.98","","",""
"39","2018-03-20 14:25:58","5","en","2018-03-20 14:24:18","2018-03-20 14:25:58","86.177.133.19","","Female","1973","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Neutral","102.56","33.91","","","","","","","3.58","","23.36","","","","4.27","","37.44","","",""
"40","2018-03-20 14:37:29","5","en","2018-03-20 14:36:04","2018-03-20 14:37:29","82.36.183.108","","Female","1993","Master's degree","","No","","Yes","","","True","Strongly disagree","","","True","Agree","84.83","14.4","","","","","","","4.11","","33.97","","","","3.26","","29.09","","",""
"41","2018-03-20 14:38:20","5","en","2018-03-20 14:36:51","2018-03-20 14:38:20","86.138.86.114","","Female","1978","Some College","","No","","Yes","","","True","Neutral","","","True","Agree","89.91","23.97","","","","","","","4.81","","27.39","","","","5.32","","28.42","","",""
"42","2018-03-20 14:46:58","5","en","2018-03-20 14:45:51","2018-03-20 14:46:58","128.119.202.144","","Female","1997","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Agree","68.35","17.23","","","","","","","3.16","","22.78","","","","2.84","","22.34","","",""
"43","2018-03-20 14:47:58","5","en","2018-03-20 14:46:22","2018-03-20 14:47:58","151.230.129.118","","Female","1986","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","98.69","17.87","","","","","","","5.3","","32.22","","","","2.86","","40.44","","",""
"44","2018-03-20 14:49:15","5","en","2018-03-20 14:46:31","2018-03-20 14:49:15","146.198.185.150","","Male","1952","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Strongly agree","166.07","48.7","","","","","","","8.22","","41.57","","","","7.26","","60.32","","",""
"45","2018-03-20 15:00:48","5","en","2018-03-20 14:59:21","2018-03-20 15:00:48","174.16.71.248","","Female","1989","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","88.76","20.81","","","","","","","5.81","","32.13","","","","4.32","","25.69","","",""
"46","2018-03-20 15:03:59","5","en","2018-03-20 15:01:24","2018-03-20 15:03:59","99.72.201.66","","Female","1991","High School/GED","","No","","Yes","","","True","Neutral","","","True","Disagree","155.07","27.73","","","","","","","9.95","","55.77","","","","4.05","","57.57","","",""
"47","2018-03-20 15:03:29","5","en","2018-03-20 15:01:50","2018-03-20 15:03:28","90.219.206.255","","Male","1968","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Strongly disagree","99.98","13.98","","","","","","","3.29","","26.25","","","","3.32","","53.14","","",""
"48","2018-03-20 15:04:53","5","en","2018-03-20 15:02:09","2018-03-20 15:04:53","76.31.56.12","","Male","1991","Some College","","Yes","I have taken some philosophy classes","No","","","True","Disagree","","","True","Strongly agree","164.67","35.53","","","","","","","13.27","","57.12","","","","3.46","","55.29","","",""
"49","2018-03-20 15:07:28","5","en","2018-03-20 15:03:36","2018-03-20 15:07:28","78.150.148.146","","Male","1971","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","229.62","18.25","","","","","","","12.98","","153.74","","","","6.82","","37.83","","",""
"50","2018-03-20 15:26:23","5","en","2018-03-20 15:23:03","2018-03-20 15:26:23","104.1.202.44","","Female","1986","High School/GED","","No","","Yes","","","True","Agree","","","True","Agree","202.09","36.66","","","","","","","8.54","","46.26","","","","3.97","","106.66","","",""
"51","2018-03-20 15:24:33","5","en","2018-03-20 15:23:19","2018-03-20 15:24:33","90.211.184.37","","Female","1985","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Agree","76.72","25.85","","","","","","","5.51","","20.03","","","","2.83","","22.5","","",""
"52","2018-03-20 15:27:04","5","en","2018-03-20 15:24:36","2018-03-20 15:27:04","24.140.89.42","","Female","1991","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Disagree","149.17","43.99","","","","","","","5.63","","38.81","","","","8.92","","51.82","","",""
"53","2018-03-20 15:28:59","5","en","2018-03-20 15:25:43","2018-03-20 15:28:59","66.86.141.212","","Female","1990","High School/GED","","No","","Yes","","","True","Disagree","","","True","Agree","196.96","33.1","","","","","","","14.74","","77.28","","","","9.17","","62.67","","",""
"54","2018-03-20 15:26:55","5","en","2018-03-20 15:25:54","2018-03-20 15:26:55","47.35.156.15","","Female","1994","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Disagree","62.13","17.38","","","","","","","3.94","","18.03","","","","3.22","","19.56","","",""
"55","2018-03-20 15:43:54","5","en","2018-03-20 15:42:14","2018-03-20 15:43:54","70.185.218.181","","Female","1990","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Neutral","102.69","29.48","","","","","","","3.79","","26.88","","","","5.22","","37.32","","",""
"56","2018-03-20 15:45:45","5","en","2018-03-20 15:42:29","2018-03-20 15:45:45","45.24.232.76","","Female","1995","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Strongly agree","199.27","44.71","","","","","","","15.39","","83.81","","","","6.73","","48.63","","",""
"57","2018-03-20 15:45:00","5","en","2018-03-20 15:42:45","2018-03-20 15:45:00","71.72.208.51","","Female","1998","Some College","","No","","Yes","","","True","Disagree","","","False","Agree","136.38","21.56","","","","","","","5.29","","44.89","","","","8.46","","56.18","","",""
"58","2018-03-20 15:44:21","5","en","2018-03-20 15:43:15","2018-03-20 15:44:21","2.223.58.128","","Female","1984","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Agree","67.71","18.65","","","","","","","3.93","","25.19","","","","3.19","","16.75","","",""
"59","2018-03-20 16:56:31","5","en","2018-03-20 16:55:12","2018-03-20 16:56:31","130.70.12.4","","Male","1994","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","False","Disagree","82.07","19.21","","","","","","","3.72","","22.76","","","","4.51","","31.87","","",""
"60","2018-03-20 18:03:04","5","en","2018-03-20 18:01:44","2018-03-20 18:03:04","71.88.47.8","","Female","1991","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Disagree","80.98","14.62","","","","","","","5.74","","20.99","","","","3.9","","35.73","","",""

