"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Chemist","ControlChemist","ChemistKnow","I2","Truetemp","ControlTruetemp","TruetempKnow","interviewtime","groupTime8111","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8114","I1Time","groupTime8112","ChemistTime","ControlChemistTime","ChemistKnowTime","groupTime8113","I2Time","groupTime8115","TruetempTime","ControlTruetempTime","TruetempKnowTime"
"28","2018-03-20 14:00:32","5","en","2018-03-20 13:59:11","2018-03-20 14:00:32","86.179.55.78","","Male","1991","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","83.84","17.86","","","","","","","4.81","","31.69","","","","3.88","","25.6","","",""
"29","2018-03-20 14:07:53","5","en","2018-03-20 14:05:42","2018-03-20 14:07:53","213.205.251.233","","Female","1984","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","133.04","23.53","","","","","","","12.16","","53.66","","","","4.19","","39.5","","",""
"30","2018-03-20 14:09:37","5","en","2018-03-20 14:07:20","2018-03-20 14:09:37","92.29.78.118","","Female","1971","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Neutral","137.65","26.98","","","","","","","4.74","","46.44","","","","3.41","","56.08","","",""
"31","2018-03-20 14:11:08","5","en","2018-03-20 14:08:08","2018-03-20 14:11:08","66.176.131.229","","Male","1962","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Disagree","182.2","25.73","","","","","","","8.69","","40.09","","","","6.58","","101.11","","",""
"32","2018-03-20 14:11:08","5","en","2018-03-20 14:08:15","2018-03-20 14:11:08","86.175.116.168","","Female","1990","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","175.29","28.6","","","","","","","16.45","","59.55","","","","17.63","","53.06","","",""
"33","2018-03-20 14:20:55","5","en","2018-03-20 14:18:31","2018-03-20 14:20:55","107.77.106.130","","Male","1989","High School/GED","","No","","Yes","","","True","Neutral","","","True","Disagree","145.41","19.65","","","","","","","15.59","","52.05","","","","5.91","","52.21","","",""
"34","2018-03-20 14:21:17","5","en","2018-03-20 14:19:07","2018-03-20 14:21:17","73.102.143.228","","Male","1994","Some College","","No","","Yes","","","True","Strongly agree","","","True","Neutral","130.79","31.73","","","","","","","10.36","","31.61","","","","7.74","","49.35","","",""
"35","2018-03-20 14:20:59","5","en","2018-03-20 14:19:10","2018-03-20 14:20:59","72.211.226.104","","Female","1987","Master's degree","","No","","Yes","","","True","Agree","","","True","Disagree","108.41","18.06","","","","","","","4.27","","54.83","","","","3.14","","28.11","","",""
"36","2018-03-20 14:20:58","5","en","2018-03-20 14:19:29","2018-03-20 14:20:58","92.23.181.17","","Male","1974","Master's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","91.74","21.51","","","","","","","3.86","","32.37","","","","3.72","","30.28","","",""
"37","2018-03-20 14:23:32","5","en","2018-03-20 14:19:48","2018-03-20 14:23:32","172.58.174.224","","Female","1989","Some College","","No","","Yes","","","True","Strongly agree","","","True","Agree","226.4","92.05","","","","","","","21.34","","49.73","","","","15.63","","47.65","","",""
"38","2018-03-20 14:21:58","5","en","2018-03-20 14:19:59","2018-03-20 14:21:58","172.78.37.243","","Male","1962","Some College","","No","","Yes","","","True","Agree","","","True","Agree","119.62","19.1","","","","","","","6.39","","46.13","","","","3.96","","44.04","","",""
"39","2018-03-20 14:22:16","5","en","2018-03-20 14:20:30","2018-03-20 14:22:16","82.2.227.162","","Female","1986","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","108.44","28.53","","","","","","","3.83","","42.23","","","","3.55","","30.3","","",""
"40","2018-03-20 14:25:15","5","en","2018-03-20 14:22:02","2018-03-20 14:25:15","162.210.111.250","","Female","1955","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","194.8","37.99","","","","","","","7.26","","83.2","","","","14.59","","51.76","","",""
"41","2018-03-20 14:24:45","5","en","2018-03-20 14:23:16","2018-03-20 14:24:45","73.34.61.151","","Male","1989","Advanced Graduate work or Doctoral degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Strongly agree","91.04","21.41","","","","","","","4.53","","31.13","","","","6.41","","27.56","","",""
"42","2018-03-20 14:43:41","5","en","2018-03-20 14:42:35","2018-03-20 14:43:41","192.168.2.47","","Female","1967","Bachelor's degree","","No","","Yes","","","True","Agree","","","False","Strongly disagree","68.09","14.11","","","","","","","3.14","","28.44","","","","3.5","","18.9","","",""
"43","2018-03-20 14:54:07","5","en","2018-03-20 14:50:59","2018-03-20 14:54:07","108.213.140.246","","Male","1966","Master's degree","","No","","Yes","","","True","Strongly agree","","","False","Agree","189.59","19.63","","","","","","","31.95","","53.33","","","","6.21","","78.47","","",""
"44","2018-03-20 14:54:49","5","en","2018-03-20 14:52:02","2018-03-20 14:54:49","81.96.27.248","","Female","1987","Master's degree","","No","","Yes","","","True","Agree","","","False","Neutral","169.13","22.53","","","","","","","8.19","","69.02","","","","3.5","","65.89","","",""
"45","2018-03-20 14:56:08","5","en","2018-03-20 14:52:16","2018-03-20 14:56:08","74.80.23.154","","Male","1990","High School/GED","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Strongly agree","234.04","70.59","","","","","","","4.23","","106.61","","","","8.04","","44.57","","",""
"46","2018-03-20 14:54:23","5","en","2018-03-20 14:52:47","2018-03-20 14:54:23","69.24.180.124","","Female","1999","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","98.11","19.66","","","","","","","5.46","","34.55","","","","4.02","","34.42","","",""
"47","2018-03-20 14:57:28","5","en","2018-03-20 14:55:52","2018-03-20 14:57:28","66.76.124.36","","Female","1975","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Agree","97.23","24.33","","","","","","","6.04","","28.65","","","","6.27","","31.94","","",""
"48","2018-03-20 15:11:44","5","en","2018-03-20 15:07:57","2018-03-20 15:11:44","69.71.189.32","","Female","1986","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","229.4","26.59","","","","","","","8.34","","82.3","","","","4.9","","107.27","","",""
"49","2018-03-20 15:10:37","5","en","2018-03-20 15:08:48","2018-03-20 15:10:37","217.13.128.68","","Female","1991","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","110.9","23.6","","","","","","","5.86","","47.62","","","","4.1","","29.72","","",""
"50","2018-03-20 15:12:00","5","en","2018-03-20 15:10:42","2018-03-20 15:12:00","62.232.83.130","","Male","1988","Some College","","No","","Yes","","","True","Strongly agree","","","True","Disagree","79.81","15.88","","","","","","","2.57","","32.3","","","","2.79","","26.27","","",""
"51","2018-03-20 15:22:23","5","en","2018-03-20 15:20:29","2018-03-20 15:22:23","73.74.194.210","","Male","1984","High School/GED","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Strongly agree","115.71","26.19","","","","","","","2.41","","49.77","","","","3.27","","34.07","","",""
"52","2018-03-20 15:22:56","5","en","2018-03-20 15:21:04","2018-03-20 15:22:56","71.194.15.10","","Female","1995","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Disagree","114.06","35.93","","","","","","","7.03","","40.07","","","","3.15","","27.88","","",""
"53","2018-03-20 15:23:44","5","en","2018-03-20 15:22:11","2018-03-20 15:23:44","170.253.153.217","","Female","1993","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","94.15","16.48","","","","","","","6.42","","40.27","","","","3.74","","27.24","","",""
"54","2018-03-20 15:38:03","5","en","2018-03-20 15:35:29","2018-03-20 15:38:03","81.135.249.88","","Male","1965","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","156.62","21.79","","","","","","","5.5","","63.52","","","","3.47","","62.34","","",""
"55","2018-03-20 15:40:04","5","en","2018-03-20 15:36:00","2018-03-20 15:40:04","74.128.221.11","","Female","1982","Some College","","Yes","I have taken some philosophy classes","No","","","True","Strongly agree","","","True","Agree","245.41","46.77","","","","","","","7.87","","102.81","","","","5.34","","82.62","","",""
"56","2018-03-20 15:38:56","5","en","2018-03-20 15:36:11","2018-03-20 15:38:56","152.9.197.190","","Female","1999","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","167.01","18.98","","","","","","","2.89","","93.48","","","","5.3","","46.36","","",""
"57","2018-03-20 15:39:25","5","en","2018-03-20 15:38:00","2018-03-20 15:39:25","204.228.23.204","","Female","2000","High School/GED","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","87.54","22.79","","","","","","","5.52","","29.71","","","","4.88","","24.64","","",""
"58","2018-03-20 15:40:36","5","en","2018-03-20 15:38:17","2018-03-20 15:40:36","86.17.164.16","","Male","1990","Some College","","No","","Yes","","","True","Strongly agree","","","True","Disagree","140.52","18.12","","","","","","","4.25","","57.77","","","","3.53","","56.85","","",""
"59","2018-03-20 15:43:08","5","en","2018-03-20 15:38:24","2018-03-20 15:43:08","174.255.201.137","","Female","1983","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","286.07","46.86","","","","","","","12.79","","147.56","","","","8.77","","70.09","","",""
"60","2018-03-20 15:41:09","5","en","2018-03-20 15:38:30","2018-03-20 15:41:09","72.182.193.75","","Male","1945","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","159.81","25.9","","","","","","","7","","67.92","","","","7.39","","51.6","","",""
"61","2018-03-20 15:41:10","5","en","2018-03-20 15:39:30","2018-03-20 15:41:10","24.151.108.88","","Female","1979","Advanced Graduate work or Doctoral degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Disagree","101.35","19.59","","","","","","","5.06","","42.23","","","","3.65","","30.82","","",""
"62","2018-03-20 15:42:18","5","en","2018-03-20 15:39:36","2018-03-20 15:42:18","128.62.73.250","","Female","1999","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","163.68","17.66","","","","","","","13.29","","82.28","","","","4.33","","46.12","","",""
"63","2018-03-20 15:42:25","5","en","2018-03-20 15:40:10","2018-03-20 15:42:25","71.28.83.153","","Female","1991","Some College","","No","","Yes","","","True","Agree","","","True","Agree","135.95","16.01","","","","","","","5.47","","60.42","","","","6.18","","47.87","","",""

